PROJECT_ID,SAMPLE_ID,blank_or_control,dna_region,domain,enrichment,env_biome,env_feature,env_material,geohydroconnectivity,latitude,longitude,ph,temperature
DCO_BRZ,DCO_BRZ_Av4v5--Serp_TL_WHC2B_Aug10,FALSE,v4v5,Archaea,FALSE,"terrestrial biome",spring,water,high,49.4653,-57.95763,null,null
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1A_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.39,16.16
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1A_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.05,15.75
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1B_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.39,16.16
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1B_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.32,16.31
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1C_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.39,16.16
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_1C_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.414,12.32,16.31
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3A_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.41402,10.2,16.51
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3A_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.41402,10.29,15.6
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3B_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.41402,10.2,16.51
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3B_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.41402,10.29,15.6
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_CSW1_3C_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.41402,10.2,16.51
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1A_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.64,16.36
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1A_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.47,17.53
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1B_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.64,16.36
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1B_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.51,17.44
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1C_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.64,16.36
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_1C_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.862,-122.43006,11.51,17.44
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2A_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.86202,-122.43006,9.07,16.63
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2A_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.86202,-122.43006,9.43,16.91
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2B_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.86202,-122.43006,9.07,16.63
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2B_Jul14,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.86202,-122.43006,9.43,16.91
DCO_BRZ,DCO_BRZ_Bv4v5--CRO_QV1_2C_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.86202,-122.43006,9.07,16.63
DCO_BRZ,DCO_BRZ_Bv4v5--CSWold_A_Aug13,FALSE,v4v5,Bacteria,FALSE,"terrestrial biome",borehole,fluid,high,38.86193,-122.414,9.82,18.18
